stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
INOX Acrylic Distemper 10kg (LIGHT GREEN),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (LIGHT GREEN),,,,22,235.00,-5170.00,101907d759d6577e,,
INOX Acrylic Distemper 10kg (LIRIL),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (LIRIL),,,,1,390.00,-390.00,436bce732f0151f9,,
INOX Acrylic Distemper 10kg (PALE ROSE),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (PALE ROSE),,,,4,235.00,-940.00,faaa2dd8e9d9f31b,,
INOX Acrylic Distemper 10kg (PARROT GREEN),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (PARROT GREEN),,,,20,390.00,-7800.00,2d2d93b32ff22daa,,
INOX Acrylic Distemper 10kg (SUNRISE),,,PCS,,,,,,,,INOX Acrylic Distemper 10kg (SUNRISE),,,,6,415.00,-2490.00,8efe77a9b9d675b0,,
INOX Acrylic Distemper 20kg (AQUAMARINE),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (AQUAMARINE),,,,6,680.00,-4080.00,2014a18da75529c6,,
INOX Acrylic Distemper 20kg (DAFFODIL),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (DAFFODIL),,,,10,680.00,-6800.00,7ffe2cde219c404d,,
INOX Acrylic Distemper 20kg (LIGHT GREEN),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (LIGHT GREEN),,,,1,680.00,-680.00,16138b8a94bc357c,,
INOX Acrylic Distemper 20kg (LIRIL),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (LIRIL),,,,4,680.00,-2720.00,4aaab117b8b3e06d,,
INOX Acrylic Distemper 20kg (PALE ROSE),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (PALE ROSE),,,,20,608.00,-12160.00,6a57a8773176fe27,,
INOX Acrylic Distemper 20kg (PARROT GREEN),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (PARROT GREEN),,,,21,608.00,-12768.00,1804b644110c463b,,
INOX Acrylic Distemper 20kg (SUNRISE),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (SUNRISE),,,,4,720.00,-2880.00,163cec27877691b2,,
INOX Acrylic Distemper 20kg (WHITE),,,PCS,,,,,,,,INOX Acrylic Distemper 20kg (WHITE),,,,37,608.00,-22496.00,d0a33c4be090be17,,
INOX Acrylic Distemper 5kg (AQUAMARINE),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (AQUAMARINE),,,,1,225.00,-225.00,ccf436cbf470f649,,
INOX Acrylic Distemper 5kg (LIRIL),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (LIRIL),,,,43,235.00,-10105.00,8ce7007df2e69f81,,
INOX Acrylic Distemper 5kg (MERRY PINK),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (MERRY PINK),,,,70,225.00,-15750.00,88d78eba41b8b4b4,,
INOX Acrylic Distemper 5kg (PALE CREAM),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (PALE CREAM),,,,2,225.00,-450.00,21026f17639b0551,,
INOX Acrylic Distemper 5kg (PALE ROSE),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (PALE ROSE),,,,4,225.00,-900.00,71774a7fab857a37,,
INOX Acrylic Distemper 5kg (PARROT GREEN),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (PARROT GREEN),,,,63,235.00,-14805.00,4560906129a2024d,,
INOX Acrylic Distemper 5kg (SUNRISE),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (SUNRISE),,,,43,235.00,-10105.00,b4df19c44b5bfec2,,
INOX Acrylic Distemper 5kg (WHITE),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (WHITE),,,,1,225.00,-225.00,c1a7a83676e504d2,,
INOX Acrylic Distemper 5kg (YELLOW),,,PCS,,,,,,,,INOX Acrylic Distemper 5kg (YELLOW),,,,19,235.00,-4465.00,4348fd0358f53e77,,
INOX DISTEMPER POUCH,,,PKT,,,,,,,,INOX DISTEMPER POUCH,,,,23772.000,25.69,-610625.00,e4720ec869fa4a20,,
INOX Acrylic Distemper 1kg (CANDY),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (CANDY),,,,280.000,27.00,-7560.00,af57081e122bd7e0,,
INOX Acrylic Distemper 1kg (DAFFODIL),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (DAFFODIL),,,,3275.000,27.00,-88425.00,a93bdbe0e160ef37,,
INOX Acrylic Distemper 1kg (ELECTRIC BLUE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (ELECTRIC BLUE),,,,4432.000,27.00,-119664.00,58152daa1aeed12c,,
INOX Acrylic Distemper 1kg (LIGHT GREEN),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (LIGHT GREEN),,,,900.000,27.00,-24300.00,a87028ef83f2854e,,
